Country/Region,Confirmed,Deaths,Recovered,Active,Lat,Long,Mortality_Rate,Recovery_Rate
Afghanistan,36263,1269,25198,20311,33.93911,67.709953,3.499434685492099,69.48680473209608
Albania,4880,144,2745,1991,41.1533,20.1683,2.9508196721311477,56.25
Algeria,27973,1163,18837,8114,28.0339,1.6596,4.1575805240767885,67.33993493726092
Andorra,907,52,803,504,42.5063,1.5218,5.733186328555679,88.53362734288865
Angola,950,41,242,667,-11.202699999999998,17.8739,4.315789473684211,25.473684210526315
Antigua and Barbuda,86,3,65,44,17.0608,-61.7964,3.488372093023256,75.5813953488372
Argentina,167416,3059,72575,91782,-38.4161,-63.6167,1.827184976346347,43.35009795957376
Armenia,37390,711,26665,12143,40.0691,45.038199999999996,1.901577962021931,71.31585985557636
Australia,9049,83,3817,5149,-32.106275,141.3554875,0.917228423030169,42.18145651453199
Austria,20558,713,18246,9334,47.5162,14.550099999999999,3.46823620974803,88.75376982196713
Azerbaijan,30446,423,23242,8651,40.1431,47.5769,1.389345069959929,76.33843526243184
Bahamas,382,11,91,280,25.025885,-78.035889,2.8795811518324608,23.82198952879581
Bahrain,39482,141,36110,5727,26.0275,50.55,0.3571247657160225,91.45939921989768
Bangladesh,226225,2965,125683,97577,23.685,90.3563,1.310642059896121,55.5566360923859
Barbados,110,7,94,56,13.1939,-59.5432,6.363636363636363,85.45454545454545
Belarus,67251,538,60492,25477,53.7098,27.9534,0.7999881042661077,89.94959182763081
Belgium,66428,9822,17452,39154,50.8333,4.469936,14.785933642439936,26.272053953152287
Belize,48,2,26,20,17.1899,-88.4976,4.166666666666666,54.166666666666664
Benin,1770,35,1036,929,9.3077,2.3158,1.977401129943503,58.53107344632769
Bhutan,99,0,86,48,27.514200000000002,90.43360000000001,0.0,86.86868686868688
Bolivia,71181,2647,21478,47056,-16.2902,-63.5887,3.718688975990784,30.173782329554232
Bosnia and Herzegovina,10498,294,4930,5274,43.9159,17.6791,2.8005334349399886,46.96132596685083
Botswana,739,2,63,674,-22.3285,24.6849,0.2706359945872801,8.525033829499323
Brazil,2442375,87618,1846641,583080,-14.235,-51.92529999999999,3.5874097957930293,75.60841394134808
Brunei,141,3,138,109,4.5353,114.7277,2.127659574468085,97.87234042553192
Bulgaria,10621,347,5585,4732,42.7339,25.485799999999998,3.267112324639864,52.584502400903865
Burkina Faso,1100,53,926,321,12.2383,-1.5616,4.818181818181818,84.18181818181819
Burma,350,6,292,131,21.9162,95.95599999999999,1.7142857142857144,83.42857142857143
Burundi,378,1,301,120,-3.3731,29.9189,0.26455026455026454,79.62962962962963
Cabo Verde,2328,22,1550,1080,16.5388,-23.041800000000002,0.9450171821305842,66.5807560137457
Cambodia,226,0,147,88,11.55,104.91669999999999,0.0,65.04424778761062
Cameroon,17110,391,14539,4183,3.848,11.5021,2.2852133255406195,84.97369959088252
Canada,58728,5667,0,53061,53.21298333333334,-93.29085833333333,9.64957090314671,0.0
Central African Republic,4599,59,1546,3095,6.6110999999999995,20.9394,1.2828875842574472,33.616003479017174
Chad,922,75,810,400,15.4542,18.7322,8.134490238611713,87.85249457700651
Chile,347923,9187,319954,82961,-35.6751,-71.543,2.640526783225024,91.96115232393375
